feature_name,avg_importance,std_importance,avg_rank,std_rank,appeared_in_models,model_list,max_importance,min_importance,is_consistent_top10,is_consistent_top20
call_count_roll_std_3,179.88654358553853,307.2307009334629,4.25,3.491060010942235,4,"RandomForest, LightGBM, XGBoost, CatBoost",712.0,0.0032777609303593636,True,True
call_count_roll_mean_3,142.0301286126167,230.04277536913074,1.5,0.5,4,"RandomForest, LightGBM, XGBoost, CatBoost",540.0,0.056038279086351395,True,True
nearby_avg_calls,94.90171841662222,161.72387214396906,3.75,1.299038105676658,4,"RandomForest, LightGBM, XGBoost, CatBoost",375.0,0.041882701218128204,True,True
call_count_lag_1,76.60029817966037,129.00591152119028,5.25,1.7853571071357126,4,"RandomForest, LightGBM, XGBoost, CatBoost",300.0,0.005636453628540039,True,True
rolling_corr_call_rain,63.36498164078224,107.76299791653474,11.75,6.609652033201143,4,"RandomForest, LightGBM, XGBoost, CatBoost",250.0,0.0006562884664162993,False,False
call_count_roll_max_3,60.32956634214809,102.58578821496634,4.75,1.7853571071357126,4,"RandomForest, LightGBM, XGBoost, CatBoost",238.0,0.05305027961730957,True,True
call_count_roll_mean_7,56.66801675469882,97.76424159162589,26.25,18.766659265836314,4,"RandomForest, LightGBM, XGBoost, CatBoost",226.0,0.00033242415520362556,False,False
call_count_roll_std_7,37.22659061410792,63.95607523113829,15.25,7.660776723022281,4,"RandomForest, LightGBM, XGBoost, CatBoost",148.0,0.0005803413805551827,False,False
humidity_avg_lag_1,36.279373156323025,62.194163341554685,12.0,2.23606797749979,4,"RandomForest, LightGBM, XGBoost, CatBoost",144.0,0.0012419181875884533,False,True
call_count_roll_mean_14,29.192853337245964,48.976383245267506,20.75,18.07449860992,4,"RandomForest, LightGBM, XGBoost, CatBoost",114.0,0.0003539307217579335,False,False
humidity_avg_lag_3,28.483465594572795,48.797122459695494,21.75,8.437268515343103,4,"RandomForest, LightGBM, XGBoost, CatBoost",113.0,0.000450079794973135,False,False
ta_max_lag_1,27.20484596455682,46.64829872442863,36.25,19.60070151805797,4,"RandomForest, LightGBM, XGBoost, CatBoost",108.0,0.00031798769487068057,False,False
ws_ins_max,25.618111823950738,44.099520691154645,30.75,10.497023387608508,4,"RandomForest, LightGBM, XGBoost, CatBoost",102.0,0.0004220041155349463,False,False
ta_min_lag_3,25.42482537099993,43.63427573071433,34.75,16.97608612136496,4,"RandomForest, LightGBM, XGBoost, CatBoost",101.0,0.00030928043997846544,False,False
ws_max_lag_3,24.67745613464351,42.333775494549236,30.5,11.884864324004713,4,"RandomForest, LightGBM, XGBoost, CatBoost",98.0,0.0003935506392735988,False,False
ws_max_lag_1,23.212441325268735,39.71602111706585,26.75,8.926785535678562,4,"RandomForest, LightGBM, XGBoost, CatBoost",92.0,0.00042493411456234753,False,False
ta_max_lag_3,22.369421594884546,38.46967310221995,39.25,13.91716565971678,4,"RandomForest, LightGBM, XGBoost, CatBoost",89.0,0.0003739646926987916,False,False
humidity_range,21.418879646282132,36.70960703539022,32.5,12.257650672131263,4,"RandomForest, LightGBM, XGBoost, CatBoost",85.0,0.00044406732195056975,False,False
남자.인구수,21.154921124662,36.28449314175193,22.5,6.726812023536855,4,"RandomForest, LightGBM, XGBoost, CatBoost",84.0,0.0011006168788298965,False,False
call_count_roll_max_7,19.998092773057934,34.06707018995288,18.75,6.869315832017043,4,"RandomForest, LightGBM, XGBoost, CatBoost",79.0,0.0005654487758874893,False,False
pca_3,19.95526278082842,34.09111807507444,27.0,11.853269591129697,4,"RandomForest, LightGBM, XGBoost, CatBoost",79.0,0.00039307534461840987,False,False
ta_min_lag_1,19.85345724866591,34.148683813534845,36.0,15.811388300841896,4,"RandomForest, LightGBM, XGBoost, CatBoost",79.0,0.0003148202958982438,False,False
weather_interaction_hm_min ws_max,18.61483354447298,31.977186463002354,37.75,12.132085558550928,4,"RandomForest, LightGBM, XGBoost, CatBoost",74.0,0.0004588983429130167,False,False
weekday,18.32021726944172,30.996440245562464,36.0,20.65187642806338,4,"RandomForest, LightGBM, XGBoost, CatBoost",72.0,0.00034376053601028805,False,False
rn_day_lag_1,18.147135320985413,31.09288117581374,25.75,5.80409338312195,4,"RandomForest, LightGBM, XGBoost, CatBoost",72.0,0.0006085682543925941,False,False
day,16.418029366930487,28.05015109662362,41.25,16.67895380412093,4,"RandomForest, LightGBM, XGBoost, CatBoost",65.0,0.0003941435134038329,False,False
weather_interaction_ta_min hm_max,15.996283119442925,27.140569310071232,25.0,5.244044240850758,4,"RandomForest, LightGBM, XGBoost, CatBoost",63.0,0.0005725320079363883,False,False
ta_max_min,15.834153406260453,27.231556080408037,35.75,10.848386976873567,4,"RandomForest, LightGBM, XGBoost, CatBoost",63.0,0.0006370354094542563,False,False
day_of_year,15.797657537639608,27.252392982756437,36.75,17.711225254058512,4,"RandomForest, LightGBM, XGBoost, CatBoost",63.0,0.0007466275710612535,False,False
rn_day_lag_3,15.664668816880251,26.753057070110643,30.5,9.233092656309694,4,"RandomForest, LightGBM, XGBoost, CatBoost",62.0,0.0006831784266978502,False,False
ta_max,15.572294804449847,26.80530560199393,51.75,14.289419162443238,4,"RandomForest, LightGBM, XGBoost, CatBoost",62.0,0.00019912362040486187,False,False
weather_interaction_ta_max ws_max,14.896147745660414,25.464308806983254,22.5,12.338962679253067,4,"RandomForest, LightGBM, XGBoost, CatBoost",59.0,0.0006954745622351766,False,False
weather_interaction_ws_max rn_day,14.651622921715962,25.028365254748735,22.25,11.344051304538427,4,"RandomForest, LightGBM, XGBoost, CatBoost",58.0,0.0037143072113394737,False,False
weather_interaction_hm_max ws_max,14.59705738027072,23.92383363603992,32.75,14.686303142724515,4,"RandomForest, LightGBM, XGBoost, CatBoost",56.0,0.00036701455246657133,False,False
apparent_temp,13.593956707185017,23.328938285137973,41.5,5.220153254455275,4,"RandomForest, LightGBM, XGBoost, CatBoost",54.0,0.0003845698665827513,False,False
call_count_lag_3,12.9578951946508,21.966234361830534,44.5,17.03672503740082,4,"RandomForest, LightGBM, XGBoost, CatBoost",51.0,0.0002633357944432646,False,False
