feature,coefficient,abs_coefficient,selected
call_count_roll_mean_3,1.8900616196004527,1.8900616196004527,True
call_count_lag_1,-0.9332837995532196,0.9332837995532196,True
weather_interaction_ta_max ws_max,0.6018070932607691,0.6018070932607691,True
rn_day,-0.5211993465131833,0.5211993465131833,True
month,0.47763191698859325,0.47763191698859325,True
ws_max,-0.4450799034107197,0.4450799034107197,True
weather_interaction_hm_min ws_max,-0.40556005976962023,0.40556005976962023,True
weather_interaction_ta_min rn_day,0.3984228964890291,0.3984228964890291,True
weather_interaction_ta_max rn_day,0.36323922549336,0.36323922549336,True
month_cos,-0.35079957296019126,0.35079957296019126,True
weather_interaction_hm_max rn_day,-0.3496911334244001,0.3496911334244001,True
day_sin,0.34869605395524295,0.34869605395524295,True
nearby_avg_calls,0.30057320297963236,0.30057320297963236,True
weather_interaction_hm_max ws_max,0.29942082119812996,0.29942082119812996,True
day_of_year,0.2788454729812976,0.2788454729812976,True
call_count_roll_max_3,0.27859069788631385,0.27859069788631385,True
call_count_roll_std_3,-0.25948019807517897,0.25948019807517897,True
month_sin,0.25436723418473633,0.25436723418473633,True
weather_interaction_hm_max hm_min,-0.2502509659245448,0.2502509659245448,True
call_count_roll_std_7,0.21382058904852813,0.21382058904852813,True
typhoon,0.20908464339605043,0.20908464339605043,True
humidity_avg,0.19246677617979865,0.19246677617979865,True
weather_interaction_hm_min rn_day,0.1877978812179605,0.1877978812179605,True
call_count_roll_mean_7,-0.1669654490143152,0.1669654490143152,True
humidity_range,-0.157358666820575,0.157358666820575,True
여자.인구수,0.15144272413334126,0.15144272413334126,True
day_cos,0.12000263703941122,0.12000263703941122,True
temp_range,-0.10945351806484534,0.10945351806484534,True
남자.인구수,-0.10768927884162571,0.10768927884162571,True
weather_interaction_ta_min hm_min,-0.10525471925576836,0.10525471925576836,True
call_count_roll_mean_14,0.09462233168723436,0.09462233168723436,True
ws_max_lag_3,-0.09252719509666828,0.09252719509666828,True
is_weekend,-0.09023409309786094,0.09023409309786094,True
ta_max_lag_3,0.08855879783389257,0.08855879783389257,True
ta_min_lag_3,-0.08285983181827453,0.08285983181827453,True
apparent_temp,0.08030922654208576,0.08030922654208576,True
hot_and_rainy,0.07022563307136821,0.07022563307136821,True
humidity_avg_lag_1,0.06685246232020943,0.06685246232020943,True
discomfort_index,-0.0663576233793234,0.0663576233793234,True
weekday,0.06489234845474269,0.06489234845474269,True
ws_max_is_extreme_q95,0.06426482048336137,0.06426482048336137,True
ta_min_lag_1,0.06389389984855036,0.06389389984855036,True
call_count_lag_3,-0.06249113841011956,0.06249113841011956,True
ws_ins_max,-0.05446039322641638,0.05446039322641638,True
is_typhoon,0.04537985014283176,0.04537985014283176,True
ta_max,-0.044814850874354946,0.044814850874354946,True
is_rainy,-0.043362880810752666,0.043362880810752666,True
windy_and_rainy,0.04031831356052949,0.04031831356052949,True
call_count_roll_max_7,-0.039345044107768186,0.039345044107768186,True
STN,-0.03868123507219058,0.03868123507219058,True
rn_day_lag_3,-0.038576147957104095,0.038576147957104095,True
distance_from_center,0.032872614245909905,0.032872614245909905,True
ta_max_lag_1,-0.03155775940271761,0.03155775940271761,True
temp_avg,-0.031198101543453708,0.031198101543453708,True
ta_min,-0.029954225810259756,0.029954225810259756,True
weather_interaction_ta_min hm_max,0.02854215986324883,0.02854215986324883,True
ta_max_is_extreme_q05,0.027034484087651283,0.027034484087651283,True
hm_min,0.02625200383413117,0.02625200383413117,True
day,0.02414342794546707,0.02414342794546707,True
year,0.02035745675113765,0.02035745675113765,True
ws_max_is_extreme_q05,0.018703536991275367,0.018703536991275367,True
autumn_spatial_cluster,-0.01827612999719258,0.01827612999719258,True
weather_interaction_ws_max rn_day,-0.01809198660188447,0.01809198660188447,True
xcoord,-0.01777926984272614,0.01777926984272614,True
세대당_인구_집계,-0.01761914841331036,0.01761914841331036,True
ta_max_is_extreme_q95,0.01635392522123401,0.01635392522123401,True
summer_spatial_cluster,-0.015913095037269925,0.015913095037269925,True
gu_avg_calls,0.015839995503777658,0.015839995503777658,True
gu_total_calls,-0.01567726859570586,0.01567726859570586,True
rn_day_lag_1,0.014455457786643764,0.014455457786643764,True
temporal_cluster,-0.01383285150061518,0.01383285150061518,True
ta_max_min,-0.013396694072561142,0.013396694072561142,True
weather_interaction_ta_max ta_min,0.011594307981567386,0.011594307981567386,True
call_count_lag_7,0.009597599906843972,0.009597599906843972,True
pca_3,0.009190156308619201,0.009190156308619201,True
humidity_avg_lag_3,0.009072482920063444,0.009072482920063444,True
call_count_roll_max_14,0.006874756292605773,0.006874756292605773,True
남여_비율_집계,0.006669652425980044,0.006669652425980044,True
ycoord,0.006329504319951195,0.006329504319951195,True
rn_day_is_extreme_q95,-0.006012684585718044,0.006012684585718044,True
distance_from_coast,0.00442100065053055,0.00442100065053055,True
spring_spatial_cluster,0.004029663073315059,0.004029663073315059,True
rolling_corr_call_rain,-0.0034272063801392533,0.0034272063801392533,True
ws_max_lag_1,0.0027532304401055837,0.0027532304401055837,True
hm_max,0.0,0.0,False
세대수,0.0,0.0,False
총인구수,0.0,0.0,False
week_of_year,-0.0,0.0,False
weather_interaction_ta_max hm_min,-0.0,0.0,False
call_count_roll_std_14,0.0,0.0,False
weather_interaction_ta_max hm_max,-0.0,0.0,False
weather_interaction_ta_min ws_max,0.0,0.0,False
rn_day_is_extreme_q05,0.0,0.0,False
pca_1,0.0,0.0,False
pca_2,-0.0,0.0,False
